date,Block1_factor1,Block2_factor1,Block3_factor1,Block4_factor1
,-2.08127982696662,-0.20616193131054603,0.0177689935419424,-3.75579737473787
,-2.09841539061596,-0.08341752549737,0.0453572094266125,1.96102206051458
,-2.2288171547866202,0.0605733867706394,0.0873670449554786,-0.8492759633062281
,-0.57582033210784,0.0498185999305703,-1.5078266797276598,-0.0584395539507083
,-0.56190128499008,0.0665024467447231,-0.41528671183762395,-0.282679441187313
,-0.825567870142302,-0.18103341410356302,-0.6642934665218311,1.07520891578166
,0.32480091921637105,-0.0403995453096291,0.0190739501835285,-0.931982124494842
,-0.294643876326037,0.141471951595524,-0.0343516625133457,0.644756487015613
,-0.594467761987697,-0.15224644133863502,1.34312877237811,-0.359641189195608
,0.735686269987452,-0.26802924007272,-0.369023023082284,0.471082039984428
,0.28815064249469,-0.429799910054335,-0.415849423458054,-0.350723285370024
,1.6256591020274698,-0.985189027391166,0.694877240133401,-0.37704081224646
2000-01-31,1.8947210250756499,-1.8027106405007902,1.1792651921313002,0.4215384506516501
2000-02-29,2.7401184376099104,-1.6824241995936497,0.8555342211459279,-0.410382889510949
2000-03-31,3.0588230788004904,-1.2790738234113799,0.5194606792388939,-0.0624831020834377
2000-04-30,2.53033413860912,-0.8996333623068901,0.552173107086247,1.01839683150723
2000-05-31,2.2367207745231603,-0.742339023045932,0.0429175489855162,-0.37204140138499103
2000-06-30,3.0299393231658702,-0.501878344255372,0.629103091007514,0.177410195552476
2000-07-31,3.85248955359465,-0.543487381481851,0.543206209601472,-0.21846692644134302
2000-08-31,2.79253255689712,-0.6868440659180219,0.0227668733039736,0.28697271191996804
2000-09-30,3.41992600613576,-0.548116748562279,-0.9554725357299308,0.255625132529006
2000-10-31,4.36426423418782,-0.676767495749673,1.1532028821202198,0.24470921593307898
2000-11-30,4.16058403905988,-0.659686602713136,0.745107982873672,0.24698465394925198
2000-12-31,2.58084795460827,-0.43684313692033,0.548181367323914,-0.265957943970077
2001-01-31,0.0372185044796063,-0.1088845129136,0.328027821199501,0.16831524924800198
2001-02-28,-0.36191597286931704,0.10745761592545598,1.5101749491609198,0.32556565903153806
2001-03-31,-0.7991403539350741,0.0865890720751404,-1.12052254175251,-0.33504435155033
2001-04-30,-1.6749169152324,0.0785154187383884,0.61762184870897,0.600717851703306
2001-05-31,-0.7864690027028841,0.0710467351912391,-0.7461563460041909,-0.16260899428579098
2001-06-30,-1.05468117193584,0.12312620598514899,0.404970178199771,-0.136496850641845
2001-07-31,-0.45260047048996294,-0.27427378199822305,-0.269031301359886,0.4406037943064629
2001-08-31,0.0833171236855049,-0.309305295738069,0.472157321671836,-0.36062599227267794
2001-09-30,0.186450749353525,-0.310104296471776,-0.7944815517615551,0.651656995834583
2001-10-31,0.812069096514318,-0.5407200283753361,0.43897594260042294,-0.8086285420275781
2001-11-30,-0.0108300098615137,-0.267154044486087,0.806757926176573,0.23668005716257895
2001-12-31,-0.14764292163460502,-0.283026599893344,0.32658704979361897,0.902618921507005
2002-01-31,-0.429017430235099,-0.32199039801692797,0.22359668768556099,-0.994763788078185
2002-02-28,0.063892472202685,-0.600052453893219,-1.8559362811278604,0.47273795143901
2002-03-31,0.602116780424025,-0.45531040662138395,0.7852224325821149,0.679100285302892
2002-04-30,2.29293565268665,-0.548054998314171,0.548008590398697,-0.583135530547582
2002-05-31,0.8942872234967092,-0.148440775688969,1.8450808774796101,-0.262768891485112
2002-06-30,-0.37418657745996603,-0.0008028694074793469,1.84410414426877,0.224151329196636
2002-07-31,-0.6940646189828691,0.147254893307984,1.1928194643628,0.160256877582118
2002-08-31,-0.355119191009566,0.5525344248013281,1.8991525889596101,0.26582597227710697
2002-09-30,-1.4047610150116798,0.7011277188842671,-0.762157401728387,-0.0564140642098833
2002-10-31,-2.05543917187543,1.07334634296908,-0.460033331205778,-0.435657781350036
2002-11-30,-1.6111248385435502,1.17216159553816,0.33118731090527603,0.49070807347719
2002-12-31,-1.3806869477977401,1.19572642539712,-0.320757644065411,-0.149839949146175
2003-01-31,-1.84384283918129,1.3823634160558,-0.0378692125303842,-0.43803034050340794
2003-02-28,-2.55529463578099,1.22672678109759,-0.7178095228154341,0.782190258622952
2003-03-31,-2.61241517580999,1.18047822931502,1.2817800909838502,-0.356741213329343
2003-04-30,-1.7091191490663897,1.45056123148567,-0.131480862027555,-0.137239425424089
2003-05-31,-2.16727865380378,1.3937105391695401,0.18391035731865102,-0.12209779274798802
2003-06-30,-0.476236280957576,1.51059541449469,-1.59278177888475,0.105405876320637
2003-07-31,-1.7799775134464602,1.50116386053574,0.306278149529725,0.22834536923360396
2003-08-31,-0.845920498251697,1.05292546921572,-0.0599199188333978,-0.0517136854544667
2003-09-30,-1.2491908448097,0.938807530385386,1.3913998832375902,0.0570998692569584
2003-10-31,-3.0066422696891295,0.669515260624703,-0.21305715951385604,-0.530860218418795
2003-11-30,-1.91222315422102,0.510857836401168,-1.2300619435408602,0.9015318281902109
2003-12-31,-1.1627538428276,0.7136235844738281,1.54519898593164,-0.30748496720574897
2004-01-31,-1.63749012577283,0.341832623499069,-0.6658851195969399,0.13223026165555402
2004-02-29,-1.82228941904564,0.397276894489642,0.365912951298915,-0.36227460488942204
2004-03-31,-1.4614788378663999,0.43914624528828894,-0.590404501876109,0.484931661098229
2004-04-30,-1.82133452508293,0.279389346880536,0.252548884494727,-0.6203042019980539
2004-05-31,0.15994969134577697,-0.0662179189720566,0.19382062079593,0.38053997648689397
2004-06-30,-0.5738800802484879,-0.31469259335387895,1.40705906433,-0.0280894369352055
