,calender,GDP1,GDP2,GDP3,GDP4
86,2010-08-25,0.013771262,0.025826739,0.018525247,0.023212144
87,2010-08-26,0.013771262,0.025826739,0.018525247,0.023212144
88,2010-08-27,0.013771262,0.025826739,0.018525247,0.023212144
89,2010-08-28,0.013771262,0.025826739,0.018525247,0.023212144
90,2010-08-29,0.013771262,0.025826739,0.018525247,0.023212144
91,2010-08-30,0.013427622,0.025253314,0.018034193,0.022854233
92,2010-08-31,0.013427622,0.025253314,0.018034193,0.022854233
93,2010-09-01,0.01155788,0.024085131,0.017430329,0.022407081
94,2010-09-02,0.024085119,0.017430337,0.022407076,0.018949308
95,2010-09-03,0.0241402,0.017465956,0.022435746,0.018968631
96,2010-09-04,0.0241402,0.017465956,0.022435746,0.018968631
97,2010-09-05,0.0241402,0.017465956,0.022435746,0.018968631
98,2010-09-06,0.0241402,0.017465956,0.022435746,0.018968631
99,2010-09-07,0.0241402,0.017465956,0.022435746,0.018968631
100,2010-09-08,0.024440303,0.017727153,0.022610281,0.019111905
101,2010-09-09,0.024441258,0.017722517,0.022609246,0.019109398
102,2010-09-10,0.024441258,0.017722517,0.022609246,0.019109398
103,2010-09-11,0.024441258,0.017722517,0.022609246,0.019109398
104,2010-09-12,0.024441258,0.017722517,0.022609246,0.019109398
105,2010-09-13,0.024441258,0.017722517,0.022609246,0.019109398
106,2010-09-14,0.026443944,0.01925651,0.023688439,0.019952386
107,2010-09-15,0.02777468,0.020377302,0.024526603,0.020582353
108,2010-09-16,0.02770451,0.02032138,0.024486263,0.020553365
109,2010-09-17,0.027461335,0.020133074,0.024347076,0.020447717
110,2010-09-18,0.027461335,0.020133074,0.024347076,0.020447717
111,2010-09-19,0.027461335,0.020133074,0.024347076,0.020447717
112,2010-09-20,0.027461335,0.020133074,0.024347076,0.020447717
113,2010-09-21,0.029986043,0.020663604,0.024640336,0.020663869
114,2010-09-22,0.029986043,0.020663604,0.024640336,0.020663869
115,2010-09-23,0.029986043,0.020663604,0.024640336,0.020663869
116,2010-09-24,0.029792015,0.020725613,0.024697201,0.020709628
117,2010-09-25,0.029792015,0.020725613,0.024697201,0.020709628
118,2010-09-26,0.029792015,0.020725613,0.024697201,0.020709628
119,2010-09-27,0.029792015,0.020725613,0.024697201,0.020709628
120,2010-09-28,0.029792015,0.020725613,0.024697201,0.020709628
121,2010-09-29,0.029792015,0.020725613,0.024697201,0.020709628
122,2010-09-30,0.029792015,0.020725613,0.024697201,0.020709628
123,2010-10-01,0.030123413,0.020681318,0.024651935,0.020669629
124,2010-10-02,0.030123405,0.020681324,0.024651931,0.020669632
125,2010-10-03,0.030123405,0.020681324,0.024651931,0.020669632
126,2010-10-04,0.030123405,0.020681324,0.024651931,0.020669632
127,2010-10-05,0.030123405,0.020681324,0.024651931,0.020669632
128,2010-10-06,0.030123405,0.020681324,0.024651931,0.020669632
129,2010-10-07,0.030175542,0.020726171,0.024682944,0.020694849
130,2010-10-08,0.029304959,0.019982519,0.024130492,0.020283537
131,2010-10-09,0.029304959,0.019982519,0.024130492,0.020283537
